User_ID,Product_Category,Purchase
1000001,1,15401.0
1000001,2,12842.0
1000001,3,10896.272727272728
1000001,4,2806.0
1000001,5,7874.5
1000001,6,16622.0
1000001,8,8692.75
1000001,12,1398.0
1000001,14,11011.0
1000001,16,16446.0
1000001,20,612.0
1000002,1,13344.161290322581
1000002,2,15870.0
1000002,5,6191.538461538462
1000002,6,14999.166666666666
1000002,8,8413.16
1000002,20,119.0
1000003,1,15238.533333333333
1000003,2,14527.0
1000003,3,10906.0
1000003,5,7047.333333333333
1000003,8,5817.0
1000003,18,3854.0
1000004,1,15845.153846153846
1000004,20,481.0
1000005,1,10800.055555555555
1000005,2,13066.0
1000005,3,10851.0
1000005,4,2582.0
1000005,5,5821.2
1000005,6,10956.666666666666
1000005,7,14990.8
1000005,8,5921.613636363636
1000005,11,5274.0
1000005,14,11085.0
1000005,15,17374.0
1000005,16,8398.333333333334
1000006,1,15517.375
1000006,2,11999.0
1000006,3,11862.8
1000006,4,2514.4
1000006,5,6327.083333333333
1000006,6,8210.0
1000006,8,8258.0
1000006,12,1520.6666666666667
1000006,18,3061.0
1000006,20,480.0
1000007,1,15716.714285714286
1000007,5,7012.0
1000007,11,7381.0
1000007,20,241.0
1000008,1,15788.636363636364
1000008,2,15941.0
1000008,3,13265.0
1000008,5,6555.0
1000008,6,17382.666666666668
1000008,8,7665.619047619048
1000008,19,48.0
1000009,1,13597.545454545454
1000009,3,10789.6
1000009,5,5681.888888888889
1000009,6,16970.285714285714
1000009,7,16874.0
1000009,8,7479.428571428572
1000009,15,17387.0
1000009,16,14590.5
1000009,20,139.0
1000010,1,15202.5
1000010,2,13548.78947368421
1000010,3,11705.3125
1000010,4,2505.714285714286
1000010,5,7335.325
1000010,6,12431.0
1000010,7,20957.0
1000010,8,8295.05
1000010,11,4574.0
1000010,12,1692.8333333333333
1000010,13,768.0
1000010,14,11420.0
1000010,17,5133.0
1000010,19,24.0
1000011,1,12887.142857142857
1000011,2,6819.666666666667
1000011,3,2663.0
1000011,4,2138.0
1000011,5,6276.457142857143
1000011,6,20060.666666666668
1000011,7,10472.0
1000011,8,7952.142857142857
1000011,11,4556.0
1000011,16,12372.0
1000011,20,121.0
1000012,1,15456.0
1000012,2,12788.0
